query_id,time
1,34.0
2,24.216
3,31.984
4,25.406
5,27.134
6,32.361
7,28.901
8,26.736
9,28.772
10,24.067
11,27.374
12,21.809
13,25.576
14,29.103
15,24.125
16,20.418
17,19.86
18,24.375
19,22.377
20,19.197
21,26.973
22,19.035
23,23.452
24,20.375
25,19.866
26,22.019
27,27.647
28,20.27
29,21.268
30,20.614
31,21.726
32,17.18
33,19.102
34,19.094
35,17.913
36,18.762
37,24.249
38,27.397
39,20.627
40,18.024
41,21.658
42,26.52
43,28.806
44,21.597
45,28.672
46,22.527
47,23.037
48,23.658
49,19.632
50,24.087
51,31.792
52,24.135
53,25.232
54,19.352
55,17.714
56,23.142
57,20.279
58,22.117
59,22.528
60,24.552
61,23.756
62,15.512
63,21.195
64,20.275
65,24.674
66,18.116
67,19.878
68,20.12
69,19.506
70,20.701
71,23.86
72,19.722
73,26.568
74,27.415
75,16.593
76,22.528
77,17.203
78,22.425
79,22.244
80,28.03
81,31.474
82,28.662
83,35.797
84,35.925
85,32.903
86,33.894
87,29.587
88,21.184
89,23.523
90,38.138
91,25.624
92,34.001
93,26.414
94,28.442
95,38.118
96,29.968
97,33.413
98,27.719
99,28.294
100,33.286
