Last_commit_date,package_description,package_name,
12/16/2021,Launch files and scripts needed to bring up the ROS nodes of a REEM-C robot.,reemc_bringup,
12/10/2021,"This package retrieves data from url-format files such as http://,   ftp://, package:// file://, etc., and loads the data into memory.   The package:// url for ros packages is translated into a local   file:// url.  The resourse retriever was initially designed to load   mesh files into memory, but it can be used for any type of   data. The resource retriever is based on the the libcurl library.",resource_retriever,
12/8/2021,Time-Indexed RRT-Connect solver (Humanoids 2018),exotica_time_indexed_rrt_connect_solver,
12/8/2021,SciPy-based Python solvers for Exotica,exotica_scipy_solver,
12/8/2021,Quadrotor dynamics solver plug-in for Exotica,exotica_quadrotor_dynamics_solver,
12/8/2021,Python bindings for EXOTica,exotica_python,
12/8/2021,Dynamics solver plug-in using Pinocchio for Exotica,exotica_pinocchio_dynamics_solver,
12/8/2021,Pendulum dynamics solver plug-in for Exotica,exotica_pendulum_dynamics_solver,
12/8/2021,Exotica solvers based on the Open Motion Planning Libary (OMPL),exotica_ompl_solver,
12/8/2021,Kinodynamic Control Solvers from OMPL,exotica_ompl_control_solver,
12/8/2021,A Levenberg-Marquardt solver for EXOTica,exotica_levenberg_marquardt_solver,
12/8/2021,"ILQR Solver (Li and Todorov, 2004)",exotica_ilqr_solver,
12/8/2021,"ILQG Solver (Todorov and Li, 2004)",exotica_ilqg_solver,
12/8/2021,Regularised and weighted pseudo-inverse unconstrained end-pose solver,exotica_ik_solver,
12/8/2021,Package containing examples and system tests for EXOTica.,exotica_examples,
12/8/2021,Metapackage for all dynamics solvers bundled with core EXOTica.,exotica_dynamics_solvers,
12/8/2021,Double integrator dynamics solver plug-in for Exotica,exotica_double_integrator_dynamics_solver,
12/8/2021,Various DDP Solvers,exotica_ddp_solver,
12/8/2021,Common taskmaps provided with EXOTica.,exotica_core_task_maps,
12/8/2021,The Extensible Optimization Toolset (EXOTica) is a library for defining problems for robot motion planning.,exotica_core,
12/8/2021,Collision checking and distance computation using the latest version of the FCL library.,exotica_collision_scene_fcl_latest,
12/8/2021,Cartpole dynamics solver plug-in for Exotica,exotica_cartpole_dynamics_solver,
12/8/2021,Implementation of the Approximate Inference Control algorithm (AICO),exotica_aico_solver,
12/8/2021,The Extensible Optimization Toolset (EXOTica) is a library for defining problems for robot motion planning. This package serves similar to a metapackage and contains dependencies onto all core-released exotica packages. It also builds the documentation.,exotica,
11/30/2021,A Python-based which publishes connection information about a linux wireless interface.,wireless_watcher,
11/30/2021,"Messages for describing a wireless network such as bitrate, essid, and link quality.",wireless_msgs,
11/30/2021,Log4cpp maintained by Orocos developers    This version of log4cpp deviates from the official release    by adding custom category factories. Orocos requires this for    setting up real-time logging.,log4cpp,
11/29/2021,Orocos/RTT component framework,rtt,
11/29/2021,Orocos component library    This package contains standard components for the Orocos Toolchain,ocl,
11/18/2021,"rqt_topic provides a GUI plugin for displaying debug information about ROS topics including publishers, subscribers, publishing rate, and ROS Messages.",rqt_topic,
11/15/2021,The rc_genicam_driver provides data from a Roboception rc_visard 3D sensor or rc_cube on several ROS topics.,rc_genicam_driver,
11/8/2021,ROS support for the Pilz laser scanner,psen_scan_v2,
11/4/2021,Simple navigation package,move_basic,
11/2/2021,This package provides additional plugins that can be used by the STOMP MoveIt planner,stomp_plugins,
11/2/2021,This package wraps the STOMP planner functionality in stomp_core so that it can be used within the MoveIt Motion Planning Framework,stomp_moveit,
11/2/2021,"This ROS package wraps documentation tools like doxygen, sphinx,    and epydoc, making it convenient to generate ROS package    documentation.    It also generates online documentation for the ROS wiki.",rosdoc_lite,
11/1/2021,Driver to interface with the Dataspeed Inc. USB CAN Tool,dataspeed_can_usb,
11/1/2021,CAN bus introspection,dataspeed_can_tools,
11/1/2021,Time synchronize multiple CAN messages to get a single callback,dataspeed_can_msg_filters,
11/1/2021,CAN bus tools using Dataspeed hardware,dataspeed_can,
10/29/2021,Library for interfacing to USB devices,lusb,
10/29/2021,"Provides standard messages specific to Heron, especially for     the microcontroller's rosserial interface.",heron_msgs,
10/29/2021,URDF description for Heron,heron_description,
10/29/2021,Control package for Heron,heron_control,
10/28/2021,"Feathery lightweight web server for ROS, that is based on",roswww,
10/26/2021,Interactive control for generic Twist-based robots using interactive markers,interactive_marker_twist_server,
10/25/2021,ROS integration for the Catch unit test framework,catch_ros,
10/24/2021,The fuse_viz package provides visualization tools for fuse.,fuse_viz,
10/24/2021,"The fuse_variables package provides a set of commonly used variable types, such as 2D and 3D positions,    orientations, velocities, and accelerations.",fuse_variables,
10/24/2021,Package containing source code for the fuse tutorials,fuse_tutorials,
10/24/2021,The fuse_publishers package provides a set of common publisher plugins.,fuse_publishers,
10/24/2021,"The fuse_optimizers package provides a set of optimizer implementations. An optimizer is the object responsible    for coordinating the sensors and motion model inputs, computing the optimal state values, and providing access to    to the optimal state via the publishers.",fuse_optimizers,
10/24/2021,The fuse_msgs package contains messages capable of holding serialized fuse objects,fuse_msgs,
10/24/2021,fuse plugins that implement various kinematic and sensor models,fuse_models,
10/24/2021,"The fuse_loss package provides a set of commonly used loss functions, such as the basic ones provided by Ceres.",fuse_loss,
10/24/2021,The fuse_graphs package provides some concrete implementations of the fuse_core::Graph interface.,fuse_graphs,
10/24/2021,The fuse_core package provides the base class interfaces for the various fuse components. Concrete implementations of these    interfaces are provided in other packages.,fuse_core,
10/24/2021,"The fuse_constraints package provides a set of commonly used constraint types, such as direct measurements on    state variables (absolute constraints) or measurements of the state changes (relative constraints).",fuse_constraints,
10/24/2021,The fuse metapackage,fuse,
10/22/2021,"Assorted filters designed to operate on 2D planar laser scanners,    which use the sensor_msgs/LaserScan type.",laser_filters,
10/19/2021,"The main purpose of the cob_twist_controller is to convert target twists into joint velocities.   Therefore it makes use of several implemented inverse kinematics approaches at the first order differential level.   The inverse differential kinematics solver considers kinematic chain extensions, singularity robustness,   redundancy resolution and priority-based methods.  To avoid hardware destruction there is a limiter interface active as well.   Via parameter server users can dynamically configure the solving strategy.",cob_twist_controller,
10/19/2021,The cob_omni_drive_controller package provides a ros_controller plugin for the Care-O-bot tricycle base platform.,cob_tricycle_controller,
