query_id,description,desired_package,package_description,query_text,,,url,time used(ms) 1-10,time used(ms) 11-20,time used(ms) 1-20
1,"discover other R
OS masters",master_discovery_fkie,Discover the running ROS Masters in local network. The      discovering is done by sending an echo heartbeat messages to a defined      multicast group.     The alternative is to use a zeroconf/avahi daemon to register the ROS      master as service and discover other ROS masters.,discover other ROS masters,https://github.com/search?q=,&type=repositories,https://github.com/search?q=discover other ROS masters&type=repositories&p=1,387,313,700
2,Synchronize the local ROS master,master_sync_fkie,Synchronize the local ROS master to the remote masters      discovered by master_discovery_fkie node. The registration     of topics and services is only perform by local ROS master.,Synchronize the local ROS master,https://github.com/search?q=,&section=pkgs,https://github.com/search?q=Synchronize the local ROS master&section=pkgs&p=1,90,,
3,use GUI to pilot the robot using Twist message,rqt_robot_steering,rqt_robot_steering provides a GUI plugin for steering a robot using Twist messages.,"steering a robot using Twist messages,GUI plugin",https://github.com/search?q=,&section=pkgs,"https://github.com/search?q=steering a robot using Twist messages,GUI plugin&section=pkgs&p=1",70,,
4,use OpenCV to capture camera image,cv_camera,cv_camera uses OpenCV capture object to capture camera image.  This supports camera_image and nodelet.,"capture camera image,OpenCV",https://github.com/search?q=,&section=pkgs,"https://github.com/search?q=capture camera image,OpenCV&section=pkgs&p=1",344,231,575
5,view image from ROS image topics,image_view,A simple viewer for ROS image topics. Includes a specialized viewer  for stereo + disparity images.,"view image,viewer,ROS image topics",https://github.com/search?q=,&section=pkgs,"https://github.com/search?q=view image,viewer,ROS image topics&section=pkgs&p=1",77,,
6,meta-package for esay install velodyne simulation components,velodyne_simulator,Metapackage allowing easy installation of Velodyne simulation components.,"velodyne hdl-64e 3d lidar for easy install
velodyne",https://github.com/search?q=,&section=pkgs,"https://github.com/search?q=velodyne hdl-64e 3d lidar for easy install
velodyne&section=pkgs&p=1",74,,
7,description package for velodyne lidar,velodyne_description,URDF and meshes describing Velodyne laser scanners.,velodyne hdl-64e 3d lidar,https://github.com/search?q=,&section=pkgs,https://github.com/search?q=velodyne hdl-64e 3d lidar&section=pkgs&p=1,115,,
8,use gazebo plugin to provide simulated data from velodyne lidar,velodyne_gazebo_plugins,Gazebo plugin to provide simulated data from Velodyne laser scanners.,"velodyne hdl-64e 3d lidar, provide simulated data, gazebo plugin",https://github.com/search?q=,&section=pkgs,"https://github.com/search?q=velodyne hdl-64e 3d lidar, provide simulated data, gazebo plugin&section=pkgs&p=1",77,,
9,launch the driver for velodyne lidar,velodyne_driver,ROS device driver for Velodyne 3D LIDARs.,velodyne hdl-64e 3d lidar driver,https://github.com/search?q=,&section=pkgs,https://github.com/search?q=velodyne hdl-64e 3d lidar driver&section=pkgs&p=1,65,,
10,convert data from velodyne lidar to point cloud,velodyne_pointcloud,Point cloud conversions for Velodyne 3D LIDARs.,velodyne hdl-64e 3d lidar convert to point cloud,https://github.com/search?q=,&section=pkgs,https://github.com/search?q=velodyne hdl-64e 3d lidar convert to point cloud&section=pkgs&p=1,86,,
11,launch the driver for leap motion,leap_motion,ROS driver for the Leap Motion gesture sensor,leap_motion ROS driver,https://github.com/search?q=,&section=pkgs,https://github.com/search?q=leap_motion ROS driver&section=pkgs&p=1,171,,
