query_id,description,desired_package,package_description,query_text,url,time used(s),ranking
1,discover other ROS masters,master_discovery_fkie,Discover the running ROS Masters in local network. The      discovering is done by sending an echo heartbeat messages to a defined      multicast group.     The alternative is to use a zeroconf/avahi daemon to register the ROS      master as service and discover other ROS masters.,discover other ROS masters,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+discover+other+ROS+masters,0.28,1
2,Synchronize the local ROS master,master_sync_fkie,Synchronize the local ROS master to the remote masters      discovered by master_discovery_fkie node. The registration     of topics and services is only perform by local ROS master.,Synchronize the local ROS master,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+Synchronize+the+local+ROS+master,0.29,1
3,use GUI to pilot the robot using Twist message,rqt_robot_steering,rqt_robot_steering provides a GUI plugin for steering a robot using Twist messages.,use GUI to pilot the robot using Twist message,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+use+GUI+to+pilot+the+robot+using+Twist+message,0.35,NA
4,use OpenCV to capture camera image,cv_camera,cv_camera uses OpenCV capture object to capture camera image.  This supports camera_image and nodelet.,use OpenCV to capture camera image,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+use+OpenCV+to+capture+camera+image,0.27,NA
5,view image from ROS image topics,image_view,A simple viewer for ROS image topics. Includes a specialized viewer  for stereo + disparity images.,view image from ROS image topics,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+view+image+from+ROS+image+topics,0.3,1
6,meta-package for esay install velodyne simulation components,velodyne_simulator,Metapackage allowing easy installation of Velodyne simulation components.,meta-package for esay install velodyne simulation components,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+meta-package+for+esay+install+velodyne+simulation+components,0.29,1
7,description package for velodyne lidar,velodyne_description,URDF and meshes describing Velodyne laser scanners.,description package for velodyne lidar,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+description+package+for+velodyne+lidar,0.28,3
8,use gazebo plugin to provide simulated data from velodyne lidar,velodyne_gazebo_plugins,Gazebo plugin to provide simulated data from Velodyne laser scanners.,use gazebo plugin to provide simulated data from velodyne lidar,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+use+gazebo+plugin+to+provide+simulated+data+from+velodyne+lidar,0.31,1
9,launch the driver for velodyne lidar,velodyne_driver,ROS device driver for Velodyne 3D LIDARs.,launch the driver for velodyne lidar,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+launch+the+driver+for+velodyne+lidar,0.31,1
10,convert data from velodyne lidar to point cloud,velodyne_pointcloud,Point cloud conversions for Velodyne 3D LIDARs.,convert data from velodyne lidar to point cloud,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+convert+data+from+velodyne+lidar+to+point+cloud,0.26,5
11,launch the driver for leap motion,leap_motion,ROS driver for the Leap Motion gesture sensor,launch the driver for leap motion,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+launch+the+driver+for+leap+motion,0.32,1
12,visualize 3d markers,rviz,3D visualization tool for ROS.,visualize 3d markers,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+visualize+3d+markers,0.34,20
13,launch the driver for V4L usb camera,usb_cam,A ROS Driver for V4L USB Cameras,launch the driver for V4L usb camera,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+launch+the+driver+for+V4L+usb+camera,0.32,2
14,direct ROS topics,topic_tools,"Tools for directing, throttling, selecting, and otherwise messing with    ROS topics at a meta level. None of the programs in this package actually    know about the topics whose streams they are altering; instead, these    tools deal with messages as generic binary blobs. This means they can be    applied to any ROS topic.",direct ROS topics,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+direct+ROS+topics,0.29,NA
15,interface with Dynamixel servo motors,dynamixel_motor,"This stack contains packages that are used to interface with Robotis    Dynamixel line of servo motors. This stack was tested with and fully    supports AX-12, AX-18, RX-24, RX-28, MX-28, RX-64, MX-64, EX-106 and    MX-106 models.",interface with Dynamixel servo motors,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+interface+with+Dynamixel+servo+motors,0.29,3
16,tutorials for dynamixel robot,dynamixel_tutorials,Example configuration and launch file for dynamixel_motor stack.,tutorials for dynamixel robot,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+tutorials+for+dynamixel+robot,0.37,NA
17,convert OpenCV images to ROS image messages,cv_bridge,"This contains CvBridge, which converts between ROS    Image messages and OpenCV images.",convert OpenCV images to ROS image messages,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+convert+OpenCV+images+to+ROS+image+messages,0.29,4
18,calibrate parameters for image with OpenCV,image_geometry,"`image_geometry` contains C++ and Python libraries for interpreting images    geometrically. It interfaces the calibration parameters in sensor_msgs/CameraInfo    messages with OpenCV functions such as image rectification, much as cv_bridge    interfaces ROS sensor_msgs/Image with OpenCV data types.",calibrate parameters for image with OpenCV,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+calibrate+parameters+for+image+with+OpenCV,0.29,NA
19,simulate turtlebot2 in gazebo,turtlebot_gazebo,Gazebo launchers and worlds for TurtleBot simulation,simulate turtlebot2 in gazebo,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+simulate+turtlebot2+in+gazebo,0.25,NA
20,open dashboard for turtlebot2,turtlebot_dashboard,Launchers for the base-specific dashboards,open dashboard for turtlebot2,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+open+dashboard+for+turtlebot2,0.24,NA
21,automatic docking for kobuki,kobuki_auto_docking,"Automatic docking for Kobuki:	    Users owning a docking station for Kobuki can use this tool to let Kobuki find its nest autonomously.",automatic docking for kobuki,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+automatic+docking+for+kobuki,0.33,2
22,view the real time image,image_view,A simple viewer for ROS image topics. Includes a specialized viewer  for stereo + disparity images.,view the real time image,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+view+the+real+time+image,0.41,NA
23,start the tb2 robot,turtlebot_bringup,turtlebot_bringup provides roslaunch scripts for starting the TurtleBot base functionality.,start the tb2 robot,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+start+the+tb2+robot,0.27,NA
24,turtlebot2 create maps with gmapping algorithm,turtlebot_navigation,turtlebot_navigation,turtlebot2 create maps with gmapping algorithm,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+turtlebot2+create+maps+with+gmapping+algorithm,0.27,NA
25,visualize turtlebot2 with rviz,turtlebot_rviz_launchers,Launchers for visualizing TurtleBot,visualize turtlebot2 with rviz,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+visualize+turtlebot2+with+rviz,0.29,NA
26,use joysticks or keyboard to teleoperate tb2,turtlebot_teleop,Provides teleoperation using joysticks or keyboard.,use joysticks or keyboard to teleoperate tb2,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+use+joysticks+or+keyboard+to+teleoperate+tb2,0.21,NA
27,save the map,map_server,map_server provides the,save the map,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+save+the+map,0.34,1
28,modify parameter with rqt plugin,rqt_reconfigure,"This rqt plugin succeeds former dynamic_reconfigure's GUI    (reconfigure_gui), and provides the way to view and edit the parameters    that are accessible via dynamic_reconfigure.",modify parameter with rqt plugin,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+modify+parameter+with+rqt+plugin,0.29,1
29,start Baxter in Gazebo world,baxter_gazebo,Baxter Gazebo plugins and launch files,start Baxter in Gazebo world,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+start+Baxter+in+Gazebo+world,0.29,15
30,metapackage for baxter simulation,baxter_simulator,Metapackage - Baxter Research Robot Gazebo Simulation,metapackage for baxter simulation,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+metapackage+for+baxter+simulation,0.26,1
31,compensate the gravity for baxter in gazebo,baxter_sim_kinematics,"Baxter Kinematics for the FK, IK and the gravity compensation calculations",compensate the gravity for baxter in gazebo,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+compensate+the+gravity+for+baxter+in+gazebo,0.3,NA
32,simulate the hardware interfaces for Baxter in Gazebo,baxter_sim_hardware,Publishes the state information and emulates few hardware interfaces for use with Baxter    in Gazebo,simulate the hardware interfaces for Baxter in Gazebo,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+simulate+the+hardware+interfaces+for+Baxter+in+Gazebo,0.25,NA
33,baxter samples in gazebo,baxter_sim_examples,The baxter_sim_examples package,baxter samples in gazebo,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+baxter+samples+in+gazebo,0.26,NA
34,baxter controller in gazebo,baxter_sim_controllers,Baxter specific controllers for Gazebo use,baxter controller in gazebo,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+baxter+controller+in+gazebo,0.31,11
35,description package for baxter robot,baxter_description,Description of Baxter Research Robot from Rethink Robotics.    This package contains the URDF and meshes describing Baxter.,description package for baxter robot,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+description+package+for+baxter+robot,0.41,1
36,Message package for baxter,baxter_core_msgs,Messages and Services required for communication with the Baxter    Research Robot from Rethink Robotics.,Message package for baxter,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+Message+package+for+baxter,0.26,2
37,teleoperate hector quadrotor with joystick,hector_quadrotor_teleop,hector_quadrotor_teleop enables quadrotor flying with a joystick by     processing joy/Joy messages and translating them to geometry_msgs/Twist.,teleoperate hector quadrotor with joystick,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+teleoperate+hector+quadrotor+with+joystick,0.24,NA
38,supply plugins for hector quadrotor in gazebo,hector_quadrotor_gazebo_plugins,hector_quadrotor_gazebo_plugins provides gazebo plugins for using quadrotors in gazebo.     The hector_gazebo_ros_baro sensor plugin simulates an altimeter based on barometric pressure.     hector_quadrotor_simple_controller is a simple controller allowing to command the quadrotor's velocity     using a geometry_msgs/Twist message for teleoperation just by means of applying forces and torques to the model.,supply plugins for hector quadrotor in gazebo,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+supply+plugins+for+hector+quadrotor+in+gazebo,0.24,1
39,start the hector quadrotor in gazebo simulator,hector_quadrotor_gazebo,hector_quadrotor_gazebo provides a quadrotor model for the gazebo simulator.     It can be commanded using geometry_msgs/Twist messages.,start the hector quadrotor in gazebo simulator,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+start+the+hector+quadrotor+in+gazebo+simulator,0.27,NA
40,describe the hector quadrotor UAV with URDF model,hector_quadrotor_description,hector_quadrotor_description provides an URDF model of a quadrotor UAV.,describe the hector quadrotor UAV with URDF model,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+describe+the+hector+quadrotor+UAV+with+URDF+model,0.33,NA
41,demonstrations for hector quadrotor,hector_quadrotor_demo,hector_quadrotor_demo contains various launch files and needed dependencies for demonstration of the hector_quadrotor stack (indoor/outdoor flight in gazebo etc.),demonstrations for hector quadrotor,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+demonstrations+for+hector+quadrotor,0.28,NA
