query_id,description,desired_package,package_description,query_text,,,,url,time used(ms),time used(s)
1,"discover other R
OS masters",master_discovery_fkie,Discover the running ROS Masters in local network. The      discovering is done by sending an echo heartbeat messages to a defined      multicast group.     The alternative is to use a zeroconf/avahi daemon to register the ROS      master as service and discover other ROS masters.,discover other ROS masters,http://127.0.0.1:4000/search/?term=,&section=pkgs,http://127.0.0.1:4000/search/?term=discover other ROS masters&section=pkgs,http://127.0.0.1:4000/search/?term=discover other ROS masters&section=pkgs,94.6,0.0946
2,Synchronize the local ROS master,master_sync_fkie,Synchronize the local ROS master to the remote masters      discovered by master_discovery_fkie node. The registration     of topics and services is only perform by local ROS master.,Synchronize the local ROS master,http://127.0.0.1:4000/search/?term=,&section=pkgs,http://127.0.0.1:4000/search/?term=Synchronize the local ROS master&section=pkgs,http://127.0.0.1:4000/search/?term=Synchronize the local ROS master&section=pkgs,100.5,0.1005
3,use GUI to pilot the robot using Twist message,rqt_robot_steering,rqt_robot_steering provides a GUI plugin for steering a robot using Twist messages.,"steering a robot using Twist messages,GUI plugin",http://127.0.0.1:4000/search/?term=,&section=pkgs,"http://127.0.0.1:4000/search/?term=steering a robot using Twist messages,GUI plugin&section=pkgs","http://127.0.0.1:4000/search/?term=steering a robot using Twist messages,GUI plugin&section=pkgs",34,0.034
4,use OpenCV to capture camera image,cv_camera,cv_camera uses OpenCV capture object to capture camera image.  This supports camera_image and nodelet.,"capture camera image,OpenCV",http://127.0.0.1:4000/search/?term=,&section=pkgs,"http://127.0.0.1:4000/search/?term=capture camera image,OpenCV&section=pkgs","http://127.0.0.1:4000/search/?term=capture camera image,OpenCV&section=pkgs",8,0.008
5,view image from ROS image topics,image_view,A simple viewer for ROS image topics. Includes a specialized viewer  for stereo + disparity images.,"view image,viewer,ROS image topics",http://127.0.0.1:4000/search/?term=,&section=pkgs,"http://127.0.0.1:4000/search/?term=view image,viewer,ROS image topics&section=pkgs","http://127.0.0.1:4000/search/?term=view image,viewer,ROS image topics&section=pkgs",10,0.01
6,meta-package for esay install velodyne simulation components,velodyne_simulator,Metapackage allowing easy installation of Velodyne simulation components.,"velodyne hdl-64e 3d lidar for easy install
velodyne",http://127.0.0.1:4000/search/?term=,&section=pkgs,"http://127.0.0.1:4000/search/?term=velodyne hdl-64e 3d lidar for easy install
velodyne&section=pkgs",http://127.0.0.1:4000/search/?term=velodyne hdl-64e 3d lidar for easy install velodyne&section=pkgs,13.2,0.0132
7,description package for velodyne lidar,velodyne_description,URDF and meshes describing Velodyne laser scanners.,velodyne hdl-64e 3d lidar,http://127.0.0.1:4000/search/?term=,&section=pkgs,http://127.0.0.1:4000/search/?term=velodyne hdl-64e 3d lidar&section=pkgs,http://127.0.0.1:4000/search/?term=velodyne hdl-64e 3d lidar&section=pkgs,8.9,0.0089
8,use gazebo plugin to provide simulated data from velodyne lidar,velodyne_gazebo_plugins,Gazebo plugin to provide simulated data from Velodyne laser scanners.,"velodyne hdl-64e 3d lidar, provide simulated data, gazebo plugin",http://127.0.0.1:4000/search/?term=,&section=pkgs,"http://127.0.0.1:4000/search/?term=velodyne hdl-64e 3d lidar, provide simulated data, gazebo plugin&section=pkgs","http://127.0.0.1:4000/search/?term=velodyne hdl-64e 3d lidar, provide simulated data, gazebo plugin&section=pkgs",25.3,0.0253
9,launch the driver for velodyne lidar,velodyne_driver,ROS device driver for Velodyne 3D LIDARs.,velodyne hdl-64e 3d lidar driver,http://127.0.0.1:4000/search/?term=,&section=pkgs,http://127.0.0.1:4000/search/?term=velodyne hdl-64e 3d lidar driver&section=pkgs,http://127.0.0.1:4000/search/?term=velodyne hdl-64e 3d lidar driver&section=pkgs,16.7,0.0167
10,convert data from velodyne lidar to point cloud,velodyne_pointcloud,Point cloud conversions for Velodyne 3D LIDARs.,velodyne hdl-64e 3d lidar convert to point cloud,http://127.0.0.1:4000/search/?term=,&section=pkgs,http://127.0.0.1:4000/search/?term=velodyne hdl-64e 3d lidar convert to point cloud&section=pkgs,http://127.0.0.1:4000/search/?term=velodyne hdl-64e 3d lidar convert to point cloud&section=pkgs,16.1,0.0161
11,launch the driver for leap motion,leap_motion,ROS driver for the Leap Motion gesture sensor,leap_motion ROS driver,http://127.0.0.1:4000/search/?term=,&section=pkgs,http://127.0.0.1:4000/search/?term=leap_motion ROS driver&section=pkgs,http://127.0.0.1:4000/search/?term=leap_motion ROS driver&section=pkgs,94.2,0.0942
12,visualize 3d markers,rviz,3D visualization tool for ROS.,visualize 3d markers,http://127.0.0.1:4000/search/?term=,&section=pkgs,http://127.0.0.1:4000/search/?term=visualize 3d markers&section=pkgs,http://127.0.0.1:4000/search/?term=visualize 3d markers&section=pkgs,9,0.009
13,launch the driver for V4L usb camera,usb_cam,A ROS Driver for V4L USB Cameras,"V4L USB Cameras,driver",http://127.0.0.1:4000/search/?term=,&section=pkgs,"http://127.0.0.1:4000/search/?term=V4L USB Cameras,driver&section=pkgs","http://127.0.0.1:4000/search/?term=V4L USB Cameras,driver&section=pkgs",4.3,0.0043
14,direct ROS topics,topic_tools,"Tools for directing, throttling, selecting, and otherwise messing with    ROS topics at a meta level. None of the programs in this package actually    know about the topics whose streams they are altering; instead, these    tools deal with messages as generic binary blobs. This means they can be    applied to any ROS topic.","ROS topics,directing",http://127.0.0.1:4000/search/?term=,&section=pkgs,"http://127.0.0.1:4000/search/?term=ROS topics,directing&section=pkgs","http://127.0.0.1:4000/search/?term=ROS topics,directing&section=pkgs",100.6,0.1006
