package_name,category
reemc_bringup,Launch files
reemc_bringup,scripts
reemc_bringup,the ROS nodes
reemc_bringup,a REEM-C robot.
resource_retriever,This package
resource_retriever,url-format files
resource_retriever,"http://, ftp://, package:// file://, etc.,"
resource_retriever,The package:// url
resource_retriever,ros packages
resource_retriever,a local file://
resource_retriever,The resourse retriever
resource_retriever,"memory,"
resource_retriever,any type
resource_retriever,data.
resource_retriever,The resource retriever
resource_retriever,the libcurl library.
exotica_time_indexed_rrt_connect_solver,Time-Indexed RRT-Connect solver (Humanoids
exotica_scipy_solver,SciPy-based Python solvers
exotica_scipy_solver,Exotica
exotica_quadrotor_dynamics_solver,Quadrotor dynamics
exotica_quadrotor_dynamics_solver,Exotica
exotica_python,Python bindings
exotica_python,EXOTica
exotica_pinocchio_dynamics_solver,Dynamics
exotica_pinocchio_dynamics_solver,Exotica
exotica_pendulum_dynamics_solver,Pendulum dynamics
exotica_pendulum_dynamics_solver,Exotica
exotica_ompl_solver,Exotica solvers
exotica_ompl_solver,the Open Motion Planning Libary (OMPL)
exotica_ompl_control_solver,Kinodynamic Control Solvers
exotica_ompl_control_solver,OMPL
exotica_levenberg_marquardt_solver,A Levenberg-Marquardt solver
exotica_levenberg_marquardt_solver,EXOTica
exotica_ilqr_solver,ILQR Solver (Li
exotica_ilqr_solver,"Todorov,"
exotica_ilqg_solver,ILQG Solver (Todorov
exotica_ilqg_solver,"Li,"
exotica_examples,Package
exotica_examples,system tests
exotica_examples,EXOTica.
exotica_dynamics_solvers,Metapackage
exotica_dynamics_solvers,all dynamics solvers
exotica_dynamics_solvers,core EXOTica.
exotica_double_integrator_dynamics_solver,Double integrator dynamics
exotica_double_integrator_dynamics_solver,Exotica
exotica_ddp_solver,Various DDP Solvers
exotica_core_task_maps,Common taskmaps
exotica_core_task_maps,EXOTica.
exotica_core,The Extensible Optimization Toolset (EXOTica)
exotica_core,robot motion planning.
exotica_collision_scene_fcl_latest,Collision checking
exotica_collision_scene_fcl_latest,distance computation
exotica_collision_scene_fcl_latest,version
exotica_collision_scene_fcl_latest,the FCL library.
