package_name,function
resource_retriever,retrieves data
resource_retriever,loads the data
resource_retriever,load mesh files
exotica_quadrotor_dynamics_solver,solver plug-in
exotica_pinocchio_dynamics_solver,solver plug-in using Pinocchio
exotica_pendulum_dynamics_solver,solver plug-in
exotica_ik_solver,weighted pseudo-inverse unconstrained end-pose solver
exotica_examples,containing examples
exotica_double_integrator_dynamics_solver,solver plug-in
exotica_core,is a library
exotica_core,defining problems
exotica_cartpole_dynamics_solver,solver plug-in
exotica_aico_solver,algorithm (AICO)
exotica,is a library
exotica,defining problems
exotica,contains dependencies
exotica,builds the documentation.
wireless_watcher,publishes connection information
wireless_msgs,describing a wireless network
log4cpp,adding custom category factories. Orocos
ocl,contains standard components
rqt_topic,provides a GUI plugin
rqt_topic,displaying debug information
rqt_topic,"including publishers, subscribers, publishing rate,"
rc_genicam_driver,provides data
stomp_plugins,provides additional plugins
stomp_moveit,wraps the STOMP planner functionality
rosdoc_lite,generate ROS package documentation.
rosdoc_lite,generates online documentation
dataspeed_can_msg_filters,get a single callback
dataspeed_can,bus tools using Dataspeed hardware
interactive_marker_twist_server,using interactive markers
fuse_viz,provides visualization tools
fuse_variables,provides a set
fuse_variables,"used variable types,"
fuse_tutorials,containing source code
fuse_publishers,package provides a set
fuse_optimizers,package provides a set
fuse_optimizers,implementations. An optimizer
fuse_optimizers,is the object
fuse_optimizers,coordinating the sensors
fuse_optimizers,"computing the optimal state values,"
fuse_optimizers,providing access
fuse_msgs,holding serialized fuse objects
fuse_loss,provides a set
fuse_loss,"used loss functions,"
fuse_graphs,provides some concrete implementations
fuse_core,provides the base class interfaces
fuse_constraints,provides a set
fuse_constraints,"used constraint types,"
fuse_constraints,(absolute constraints)
fuse_constraints,(relative constraints).
laser_filters,use the sensor_msgs/LaserScan type.
cob_twist_controller,convert target twists
cob_twist_controller,makes use
cob_twist_controller,level. The inverse differential kinematics
cob_twist_controller,avoid hardware destruction
cob_twist_controller,is a limiter interface
cob_twist_controller,configure the solving strategy.
cob_tricycle_controller,provides a ros_controller plugin
cob_trajectory_controller,provides a trajectory controller
cob_trajectory_controller,controlls velocities
cob_trajectory_controller,be used e.g.
cob_omni_drive_controller,provides a ros_controller plugin
cob_obstacle_distance,calculates distances
cob_model_identifier,provides nodes
cob_model_identifier,analyse the system response behavior
cob_model_identifier,tune PID controllers
cob_mecanum_controller,provides a lightweight base controller
cob_mecanum_controller,robots. The out/input
cob_mecanum_controller,are wheel velocities
cob_mecanum_controller,rear right]
cob_hardware_emulation,provides idealized nodes
cob_hardware_emulation,emulating real robot hardware
cob_frame_tracker,contains nodes
cob_frame_tracker,desired tf frame target.
cob_footprint_observer,adjusts the footprint
cob_control_mode_adapter,provides a node
cob_control_mode_adapter,loads respective ros_controllers
cob_control_mode_adapter,required control mode.
cob_collision_velocity_filter,is a package
cob_collision_velocity_filter,using teleoperation.
cob_cartesian_controller,provides nodes
cob_cartesian_controller,broadcast tf-frames
cob_cartesian_controller,"(e.g. Linear, Circular)."
cob_cartesian_controller,"given velocity profile (e.g. Ramp, Sinoid)"
cob_base_velocity_smoother,reads velocity messages
cob_base_velocity_smoother,avoid shaking behavior.
cob_base_controller_utils,contains common utils
leuze_msgs,Contains the specific leuze messages.
ros_opcua_communication,are ROS bidings
ros_opcua_communication,following libraries
ros_opcua_communication,are supported: FreeOpcUa
rokubimini_bus_manager,deriving the abstract communication interface classes
rokubimini,deriving the abstract communication interface classes
bota_signal_handler,Contains a static signal
bota_node,using *bota_worker*.
bota_driver,contains all essential packages
kuka_rsi_simulator,implements a minimal RSI interface simulator.
follow_waypoints,publishing goals
computer_status_msgs,"representing computer's hardware state,"
play_motion,Plays a pre-recorded motion
pmb2_2dnav,run navigation
rqt_runtime_monitor,provides a GUI plugin viewing DiagnosticsArray messages.
webrtc_ros,using WebRTC
qb_move_hardware_interface,contains the hardware interface
qb_move_gazebo,contains the Gazebo ROS control
qb_move_description,contains the ROS description
qb_move_control,contains the ROS control node
qb_move,contains the ROS interface
qb_hand_hardware_interface,contains the hardware interface
qb_hand_gazebo,contains the Gazebo ROS control
qb_hand_description,contains the ROS description
qb_hand_control,contains the ROS control node
qb_hand,contains the ROS interface
qb_device_utils,contains a device-independent utility functions
qb_device_srvs,contains the device-independent custom ROS services
qb_device_msgs,contains the device-independent custom ROS messages
qb_device_hardware_interface,contains a device-independent hardware interface
qb_device_gazebo,contains the Gazebo ROS control custom dependencies
qb_device_driver,contains a device-independent API wrapper
qb_device_description,contains a device-independent description utilities
qb_device_control,contains a device-independent control library
qb_device_bringup,contains a device-independent bringup utilities
qb_device,contains a device-independent ROS interface
qb_chain_msgs,"control end-effector pose, robot sitiffness"
qb_chain_description,contains the ROS description
qb_chain_controllers,contains the specific controllers
qb_chain_controllers,e.g. the qbdelta controller.
qb_chain_control,contains the ROS node
qb_chain_control,control multiple qbrobotics® devices
qb_chain,contains the ROS interface
qb_chain,control multiple qbrobotics® devices
pal_statistics_msgs,msgs package
pal_carbon_collector,collects statistics
orb_slam2_ros,ros implementation.
summit_xl_pad,"control the summit_xl product range (summit_xl, summit_xl_omni, x_wam) teleoperation"
summit_xl_j2s7s300_moveit_config,using the summit_xl
summit_xl_j2s6s300_moveit_config,using the summit_xl
summit_xl_j2s6s200_moveit_config,using the summit_xl
summit_xl_j2n6s200_moveit_config,using the summit_xl
summit_xl_control,contains the launch
summit_xl_control,load the required controller interfaces
ira_laser_tools,package. These nodes
ira_laser_tools,provide some utils
ira_laser_tools,generate virtual laser scans
franka_visualization,contains visualization tools
franka_ros,is a metapackage
franka_msgs,provides messages
franka_hw,provides hardware interfaces
franka_hw,using Franka Emika research robots
franka_gripper,implements the franka gripper
franka_gazebo,offers the FrankaHWSim Class
franka_gazebo,simulate a Franka Robot
franka_example_controllers,provides example code
franka_example_controllers,controlling Franka Emika research robots
franka_description,contains URDF files
franka_control,provides a hardware node
franka_control,control a Franka Emika research robot
rqt_nav_view,provides a gui
rqt_nav_view,viewing navigation maps
crazyflie_demo,"use the crazyflie package (teleoperation, rviz integration)"
crazyflie_controller,fly a Crazyflie
rqt_robot_steering,rqt_robot_steering provides a GUI plugin
rqt_robot_steering,steering a robot using Twist messages.
rqt_robot_dashboard,provides an infrastructure
rqt_robot_dashboard,building robot dashboard plugins
rqt_logger_level,provides a GUI plugin
rqt_console,provides a GUI plugin
rqt_console,filtering ROS messages.
fiducials,using fiducial markers
fiducial_slam,build a 3D map
fiducial_msgs,containing message definitions
industrial_robot_status_controller,reports robot status
industrial_robot_status_controller,using the ROS-Industrial RobotStatus message.
agni_tf_tools,provides a gui program
agni_tf_tools,publish static transforms. Both
agni_tf_tools,support the transformation
agni_tf_tools,representations. The rviz plugin
agni_tf_tools,configure the transform
turtlebot3_fake,fake node.
turtlebot3_fake,do simple tests
turtlebot3_fake,using this package
open_manipulator_teleop,using keyboard
open_manipulator_moveit,using the open_manipulator
open_manipulator_libs,"lib., Dynamixel lib., Drawing path lib.)"
open_manipulator,is a full open robot platform consisting
open_manipulator,board)​. The OpenManipulator
open_manipulator,is allowed users
open_manipulator,has full hardware compatibility
open_manipulator,"have a real robot,"
open_manipulator,control the robot
rtabmap_ros,is a RGB-D SLAM approach
kvh_geo_fog_3d_msgs,contains raw messages
darknet_ros_msgs,is an open source
darknet_ros_msgs,"is a state-of-the-art, real-time object detection system."
darknet_ros,is an open source
darknet_ros,"is a state-of-the-art, real-time object detection system."
dynamixel_workbench_toolbox,class. The 'dynamixel_item'
dynamixel_workbench_toolbox,includes wraped function
dynamixel_workbench_toolbox,make simple
dynamixel_workbench_toolbox,use Dynamixels
dynamixel_workbench_operators,contains nodes
dynamixel_workbench_operators,control the Dynamixel
dynamixel_workbench_msgs,includes ROS messages
dynamixel_workbench_controllers,contains examples
dynamixel_workbench_controllers,applying the 'dynamixel_workbench_toolbox' library
dynamixel_workbench_controllers,operating modes
dynamixel_workbench,is dynamixel solution
dynamixel_workbench,"change the ID, baudrate"
dynamixel_workbench,operating mode
dynamixel_workbench,supports various controllers
pilz_trajectory_generation,containing the MoveIt! plugin pilz_command_planner.
pilz_robot_programming,use API
pilz_robot_programming,execute standard industrial robot commands
pilz_robot_programming,using Moveit.
pilz_industrial_motion_testutils,test industrial motion generation
pilz_extensions,are classes
pilz_extensions,extending the functionality
pilz_extensions,become pull requests
open_manipulator_msgs,send information
turtlebot3_autorace_tunnel_control,controls TurtleBot3 Auto
turtlebot3_autorace_tunnel_camera,"controls Raspberry Pi Camera,"
turtlebot3_autorace_tunnel_camera,process the image
turtlebot3_autorace_traffic_light_control,controls TurtleBot3 Auto
turtlebot3_autorace_traffic_light_camera,"controls Raspberry Pi Camera,"
turtlebot3_autorace_traffic_light_camera,process the image
turtlebot3_autorace_parking_control,controls TurtleBot3 Auto
turtlebot3_autorace_parking_camera,"controls Raspberry Pi Camera,"
turtlebot3_autorace_parking_camera,process the image
turtlebot3_autorace_level_crossing_control,controls TurtleBot3 Auto
turtlebot3_autorace_level_crossing_camera,"controls Raspberry Pi Camera,"
turtlebot3_autorace_level_crossing_camera,process the image
turtlebot3_autorace_intersection_control,controls TurtleBot3 Auto
turtlebot3_autorace_intersection_camera,"controls Raspberry Pi Camera,"
turtlebot3_autorace_intersection_camera,process the image
turtlebot3_autorace_intersection,(meta package)
turtlebot3_autorace_construction_control,controls TurtleBot3 Auto
turtlebot3_autorace_construction_camera,"controls Raspberry Pi Camera,"
turtlebot3_autorace_construction_camera,process the image
turtlebot3_autorace_construction,(meta package)
turtlebot3_autorace_2020,(meta package)
robotis_manipulator,contains the manipulation API
robotis_manipulator,controlling the manipulator.
spinnaker_sdk_camera_driver,based camera driver (Blackfly S etc.)
xbot_safety_controller,ensuring the safe operation
xbot_safety_controller,keeps track
xbot_safety_controller,wheel drop events.
xbot_safety_controller,move back.
xbot_safety_controller,is stopped. This controller
xbot_safety_controller,be enabled/disabled. The safety
xbot_safety_controller,pressed etc.)
xbot_safety_controller,be reset. WARNING: Dangerous!
xbot_driver,use ROS
xbot,-------------------------------------------------------------------------- A group
xbot,"includes driver,ros node"
xbot,searching robot technology
s3_file_uploader,facilitates the uploading
rosbag_uploader_ros1_integration_tests,end tests
rosbag_cloud_recorders,facilitate the recording
pr2_dense_laser_snapshotter,Stores the data
pr2_dense_laser_snapshotter,allowing users
pr2_dense_laser_snapshotter,perform image-like operations
pr2_dense_laser_snapshotter,is experimental. Expect APIs
pr2_calibration_launch,run the calibration pipeline
pr2_calibration_launch,tp occur.
laser_joint_projector,laser readings
dense_laser_assembler,streaming data
dense_laser_assembler,allows the user
dense_laser_assembler,do 'image-like' processing
ros_numpy,extracting numpy arrays
octomap_pa_matlab,contains the source code
