package_name,feature_word,region_word,score,,,,,,
reemc_bringup,reemc,REEM-C,91,,,,,,
magni_robot,robot,ROSbot,91,0,,,,,error rate
summit_xl_robot_local_control,robot,ROSbot,91,0,,,108,691,0.156295224
crazyflie_driver,crazyflie,Crazyflie,100,,,,,,
crazyflie_description,crazyflie,Crazyflie,100,,,,,,
crazyflie_demo,crazyflie,Crazyflie,100,,,,,,
crazyflie_controller,crazyflie,Crazyflie,100,,,,,,
crazyflie,crazyflie,Crazyflie,100,,,,,,
rqt_robot_steering,robot,ROSbot,91,0,,,,,
rqt_robot_plugins,robot,ROSbot,91,0,,,,,
rqt_robot_dashboard,robot,ROSbot,91,0,,,,,
industrial_robot_status_interface,robot,ROSbot,91,0,,,,,
industrial_robot_status_controller,robot,ROSbot,91,0,,,,,
turtlebot3_simulations,turtlebot3,TurtleBot3,100,,,,,,
turtlebot3_gazebo,turtlebot3,TurtleBot3,100,,,,,,
turtlebot3_fake,turtlebot3,TurtleBot3,100,,,,,,
dynamixel_workbench_toolbox,dynamixel,Dynamixel,100,,,,,,
dynamixel_workbench_operators,dynamixel,Dynamixel,100,,,,,,
dynamixel_workbench_msgs,dynamixel,Dynamixel,100,,,,,,
dynamixel_workbench_controllers,dynamixel,Dynamixel,100,,,,,,
dynamixel_workbench,dynamixel,Dynamixel,100,,,,,,
pilz_robot_programming,robot,ROSbot,91,0,,,,,
turtlebot3_autorace_tunnel_detect,turtlebot3,TurtleBot3,100,,,,,,
turtlebot3_autorace_tunnel_core,turtlebot3,TurtleBot3,100,,,,,,
turtlebot3_autorace_tunnel_control,turtlebot3,TurtleBot3,100,,,,,,
turtlebot3_autorace_tunnel_camera,turtlebot3,TurtleBot3,100,,,,,,
turtlebot3_autorace_tunnel,turtlebot3,TurtleBot3,100,,,,,,
turtlebot3_autorace_traffic_light_detect,turtlebot3,TurtleBot3,100,,,,,,
turtlebot3_autorace_traffic_light_core,turtlebot3,TurtleBot3,100,,,,,,
turtlebot3_autorace_traffic_light_control,turtlebot3,TurtleBot3,100,,,,,,
turtlebot3_autorace_traffic_light_camera,turtlebot3,TurtleBot3,100,,,,,,
turtlebot3_autorace_traffic_light,turtlebot3,TurtleBot3,100,,,,,,
