package_name,feature_word,region_word,score
reemc_bringup,reemc,reem-c,91
heron_msgs,heron,clearpath heron usv,90
heron_description,heron,clearpath heron usv,90
heron_control,heron,clearpath heron usv,90
leuze_rsl_driver,leuze,leuze rsl 400,90
leuze_ros_drivers,leuze,leuze rsl 400,90
leuze_phidget_driver,leuze,leuze rsl 400,90
leuze_msgs,leuze,leuze rsl 400,90
leuze_description,leuze,leuze rsl 400,90
leuze_bringup,leuze,leuze rsl 400,90
magni_viz,magni,magni silver,90
magni_teleop,magni,magni silver,90
magni_robot,magni,magni silver,90
magni_nav,magni,magni silver,90
magni_gazebo,magni,magni silver,90
magni_desktop,magni,magni silver,90
magni_description,magni,magni silver,90
magni_demos,magni,magni silver,90
magni_bringup,magni,magni silver,90
orb_slam2_ros,orb,orbbec astra,90
summit_xl_robot_local_control,summit,summit-xl,90
summit_xl_perception,summit,summit-xl,90
summit_xl_pad,summit,summit-xl,90
summit_xl_navigation,summit,summit-xl,90
summit_xl_localization,summit,summit-xl,90
summit_xl_j2s7s300_moveit_config,summit,summit-xl,90
summit_xl_j2s6s300_moveit_config,summit,summit-xl,90
summit_xl_j2s6s200_moveit_config,summit,summit-xl,90
summit_xl_j2n6s200_moveit_config,summit,summit-xl,90
summit_xl_description,summit,summit-xl,90
summit_xl_control,summit,summit-xl,90
summit_xl_common,summit,summit-xl,90
crazyflie_driver,crazyflie,crazyflie,100
crazyflie_description,crazyflie,crazyflie,100
crazyflie_demo,crazyflie,crazyflie,100
crazyflie_controller,crazyflie,crazyflie,100
crazyflie,crazyflie,crazyflie,100
rosaria,rosaria,ari,90
livox_ros_driver,livox,livox 3d lidar,90
agni_tf_tools,agni,magni silver,90
turtlebot3_simulations,turtlebot3,turtlebot3,100
turtlebot3_gazebo,turtlebot3,turtlebot3,100
turtlebot3_fake,turtlebot3,turtlebot3,100
dynamixel_workbench_toolbox,dynamixel,dynamixel,100
dynamixel_workbench_operators,dynamixel,dynamixel,100
dynamixel_workbench_msgs,dynamixel,dynamixel,100
dynamixel_workbench_controllers,dynamixel,dynamixel,100
dynamixel_workbench,dynamixel,dynamixel,100
abb_driver,abb,abb manipulators,90
turtlebot3_autorace_tunnel_detect,turtlebot3,turtlebot3,100
turtlebot3_autorace_tunnel_core,turtlebot3,turtlebot3,100
turtlebot3_autorace_tunnel_control,turtlebot3,turtlebot3,100
turtlebot3_autorace_tunnel_camera,turtlebot3,turtlebot3,100
turtlebot3_autorace_tunnel,turtlebot3,turtlebot3,100
turtlebot3_autorace_traffic_light_detect,turtlebot3,turtlebot3,100
turtlebot3_autorace_traffic_light_core,turtlebot3,turtlebot3,100
turtlebot3_autorace_traffic_light_control,turtlebot3,turtlebot3,100
turtlebot3_autorace_traffic_light_camera,turtlebot3,turtlebot3,100
turtlebot3_autorace_traffic_light,turtlebot3,turtlebot3,100
turtlebot3_autorace_parking_detect,turtlebot3,turtlebot3,100
turtlebot3_autorace_parking_core,turtlebot3,turtlebot3,100
turtlebot3_autorace_parking_control,turtlebot3,turtlebot3,100
turtlebot3_autorace_parking_camera,turtlebot3,turtlebot3,100
turtlebot3_autorace_parking,turtlebot3,turtlebot3,100
turtlebot3_autorace_msgs,turtlebot3,turtlebot3,100
turtlebot3_autorace_level_crossing_detect,turtlebot3,turtlebot3,100
turtlebot3_autorace_level_crossing_core,turtlebot3,turtlebot3,100
turtlebot3_autorace_level_crossing_control,turtlebot3,turtlebot3,100
turtlebot3_autorace_level_crossing_camera,turtlebot3,turtlebot3,100
turtlebot3_autorace_level_crossing,turtlebot3,turtlebot3,100
turtlebot3_autorace_intersection_detect,turtlebot3,turtlebot3,100
turtlebot3_autorace_intersection_core,turtlebot3,turtlebot3,100
turtlebot3_autorace_intersection_control,turtlebot3,turtlebot3,100
turtlebot3_autorace_intersection_camera,turtlebot3,turtlebot3,100
turtlebot3_autorace_intersection,turtlebot3,turtlebot3,100
turtlebot3_autorace_construction_detect,turtlebot3,turtlebot3,100
turtlebot3_autorace_construction_core,turtlebot3,turtlebot3,100
turtlebot3_autorace_construction_control,turtlebot3,turtlebot3,100
turtlebot3_autorace_construction_camera,turtlebot3,turtlebot3,100
turtlebot3_autorace_construction,turtlebot3,turtlebot3,100
