robotID,robotName,category,website,wiki,description,tags
1,0x Series,ground,,http://wiki.ros.org/Robots/0x,"0x series robots (pronounced as Ox) are the most versatile, accurate and durable mobile robotics platforms by Nex Robotics.","diff-drive,ground,mobile base"
2,ABB Manipulators,manipulator,,http://wiki.ros.org/abb,ROS-Industrial support for ABB manipulators,"ROS-Industrial,abb,arm,groovy,hydro,indigo"
3,ADAS Development Vehicle Kit,ground,,http://wiki.ros.org/Robots/ADAS_Development_Vehicle_Kit,"A complete hardware and software solution that allows seamless control of throttle, brake, steering, and shifting.","ackermann,ground"
4,AMIGO,ground,,http://wiki.ros.org/Robots/AMIGO,AMIGO is an acronym for Autonomous Mate for IntelliGent Operations. AMIGO is a domestic service robot developed and created at the Eindhoven University of Technology.,"ground,humanoid,indoor,wheeled"
5,AMIR 740,manipulator,https://www.vstone.co.jp/robotshop/index.php?main_page=product_info&products_id=5348,http://wiki.ros.org/Robots/AMIR740,"AMIR 740 is a robotic arm designed to be mounted easily on a mobile robot for researchers. It is made from aluminum, has a 2kg payload, and a 740mm reach.","arm,manipulator,mobile manipulator,noetic,research,moveit,vstone"
6,AR10,component,http://www.active-robots.com/ar10-humanoid-robotic-hand,http://wiki.ros.org/Robots/AR10,This is the AR10 robotic hand from Active8 Robots. It is actuated using 10 prismatic servos which can be used to achieve a wide variety of poses.,"baxter,hand,indigo"
7,ARI,ground,http://pal-robotics.com/robots/ari/,http://wiki.ros.org/Robots/ARI/,"ARI is a high-performance robotic platform designed for a wide range of multimodal expressive gestures and behaviours, making it the ideal social robot and suitable for human-robot interaction, perception, cognition and navigation, especially thanks to its touchscreen, gaze control and versatile gestures. With a combination of Intel i7 and NVIDIA Jetson TX2 GPU, you will have enough processing power available for AI development.","AI,HRI,PAL Robotics,autonomous,computation,education,expressive,humanoid,manipulator,melodic,moveit,perception,research,retail,social"
8,ARMadillo,ground,http://www.robotican.net/armadillo,http://wiki.ros.org/robotican_armadillo,RoboTiCan ARMadillo is a mobile base with an arm that is fully compatible with ROS.,"indoor,mobile manipulator,research"
9,AUBO I-Series,manipulator,http://www.our-robotics.com/,http://wiki.ros.org/aubo_robot,Aubo robotics I-Series are high-quality and low-cost industrial robots.,"arm,industrial"
10,Allegro Hand,component,http://www.simlab.co.kr/AllegroHand/wiki,http://wiki.ros.org/Robots/AllegroHand,Allegro Hand is a low-cost and highly adaptive robotic hand.,hand
11,AmigoBot,ground,http://www.mobilerobots.com/ResearchRobots/AmigoBot.aspx,http://wiki.ros.org/Robots/AMR_Pioneer_Compatible,Small general purpose differential-drive mobile robot platform,"autonomous,diff-drive,ground,mobile base,mobile robot,research,education,wireless,indoor"
12,AsTec Pelican and Hummingbird,aerial,http://www.asctec.de/,http://wiki.ros.org/Robots/AscTec,The AscTec Pelican and Hummingbird quadrotor helicopters are built by Ascending Technologies and can be interfaced with ROS.,quadrotor
13,Autorally,ground,http://autorally.github.io/,http://wiki.ros.org/Robots/autorally,AutoRally is a high-performance testbed for robotics research.,"ackerman,outdoor"
14,BIG-i,ground,http://www.nxrobo.com/,http://wiki.ros.org/Robots/BIG-i,"BIG-i is a natural-interaction robot with mobility, 3D vision, voice programming, and active perception.","autonomous,ground,indoor,retail"
15,Barrett Hand,component,,http://wiki.ros.org/Robots/BarrettHand,"The BH8-series BarrettHand™ is a multi-fingered programmable grasper with the dexterity to secure target objects of different sizes, shapes, and orientations.",hand
16,BipedRobin,ground,,http://wiki.ros.org/Robots/BipedRobin,BipedRobin is a biped walking robot developed at the Institute for Robotics at Johannes Kepler University Linz.,"biped,humanoid,walking"
17,BlueROV,marine,,http://wiki.ros.org/Robots/BlueROV,"The BlueROV is a remotely operated underwater vehicle from Blue Robotics. It features Blue Robotics thrusters, a flight controller with ArduSub software, and a RaspberryPi running ROS.",underwater
18,Bo,ground,https://www.botsandus.com/,http://wiki.ros.org/Robots/Bo,"Bo, is the first embodiment of the BotsAndUs technology. It is a new, dynamic, autonomous robot for brand engagement. With an AI driven data acquisition system it allows companies to listen and adapt in realtime to their customers true needs.","autonomous,data capture,ground,mobile robot,retail"
19,Bulldog,ground,http://intelrope.de/bulldog-mobile-robot-outdoor,http://wiki.ros.org/Robots/Bulldog,The bulldog(professional Robot) is a robust and versatile middle size plazfrom designed for outdoor operations.,"ground,mobile robot,outdoor,teleoperator"
20,COEX Clover,aerial,https://coex.tech/clover,http://wiki.ros.org/Robots/clover,"Educational drone kit, powered by PX4, Raspberry Pi, and ROS","education,aerial,quadcopter,raspberry pi,autonomous,indoor,melodic,kinetic,noetic"
21,CRANE-X7,manipulator,https://www.rt-net.jp/products/crane-x7?lang=en,http://wiki.ros.org/crane_x7,"CRANE-X7 is compact, well styled and compatible for ROS and suit for research on collaborative robots.CRANE-X7 has a 7-axis structure and is possible to make the plan to avoid the obstacle and simulate a flexible operation such as a person’s arm.","7dof,arm,dynamixel,education,kinetic,manipulator,melodic,moveit,research"
22,Care-O-Bot,ground,,http://wiki.ros.org/Robots/Care-O-bot,The Care-O-Bot,"ground,indoor,mobile manipulator"
23,Carla,ground,https://www.udacity.com/self-driving-car,,"Carla is a self-driving Lincoln MKZ developed by Udacity and equipped with LIDAR, radar, and cameras.","autonomous vehicle,self-driving"
24,Caster,ground,https://github.com/I-Quotient-Robotics/caster,http://wiki.ros.org/Robots/Caster,"Caster is a diff-drive indoor unmanned ground vehicle, suitable for research and indoor service applications.","diff-drive,mobile robot,research,unmanned ground vehicle"
25,Caster Moma,manipulator,https://github.com/I-Quotient-Robotics/caster_man_ros,http://wiki.ros.org/Robots/Caster_Moma,caster moma is a mobile manipulator platform for the scientific research,"diff-drive,ground,indoor,mobile manipulator,research"
26,Clearpath Heron USV,marine,https://www.clearpathrobotics.com/heron-unmanned-surface-vessel/,http://wiki.ros.org/Robots/Heron,Surface vessel featuring a payload bay for mounting submerged sensors or equipment on deck. Comes pre-installed with Linux and ROS.,"boat,mobile base,mobile robot,outdoor,outside,research,rugged,surface,teleoperator,water"
27,Clearpath Husky UGV,ground,https://www.clearpathrobotics.com/husky-unmanned-ground-vehicle-robot/,http://wiki.ros.org/Robots/Husky,"Husky is a rugged, outdoor-ready unmanned ground vehicle (UGV), suitable for research and rapid prototyping applications.","mobile base,outdoor,rugged,mobile manipulator,unmanned ground vehicle,mobile robot,outside,research,teleoperator,diff-drive"
28,Clearpath Jackal UGV,ground,https://www.clearpathrobotics.com/jackal-small-unmanned-ground-vehicle/,http://wiki.ros.org/Robots/Jackal,"Jackal's fully integrated, weatherproof design offers unique capability in a compact package.","mobile base,outdoor,rugged,mobile manipulator,unmanned ground vehicle,ground,mobile robot,research,teleoperator,diff-drive,skidsteer"
29,Clearpath Ridgeback,ground,http://clearpathrobotics.com/ridgeback,http://wiki.ros.org/Robots/Ridgeback,Ridgeback is a midsize indoor robot platform that uses an omni-drive to move manipulators and heavy payloads with ease.,"holonomic,indoor,mobile base,omnidirectional,inside,research,teleoperator,platform,mobile robot"
30,Clearpath Warthog UGV,ground,https://www.clearpathrobotics.com/warthog-unmanned-ground-vehicle-robot/,http://wiki.ros.org/Robots/Warthog,Warthog is a large all-terrain unmanned ground vehicle capable of traveling on land and in water.,"mobile base,outdoor,rugged,amphibious,unmanned ground vehicle,diff-drive,research"
31,Copernicus Robot,ground,https://www.botsync.co/copernicus.html,http://wiki.ros.org/Robots/Copernicus,Botsync Copernicus is a rugged and easy to integrate ground vehicle designed to support your prototyping and research needs for outdoor applications. Copernicus supports ROS out of the box and provides access to motion commands through a serial interface.,"autonomous,diff-drive,education,ground,kinetic,mobile robot,navigation,rugged,unmanned ground vehicle,outdoor,research"
32,CoroBot,ground,,http://wiki.ros.org/Robots/Corobot,"CoroBot is a capable, expandable and affordable mobile robot platform designed to minimize the complexity of robot development.","diff-drive,indoor"
33,Crazyflie,aerial,https://www.bitcraze.io/,,Crazyflie is an open-source nano quadcopter made by Bitcraze.,"aerial,quadcopter,open-source,autonomous,indoor,melodic,noetic"
34,Cyton Gamma,manipulator,,http://wiki.ros.org/Robots/Cyton-Gamma,The ROS-Cyton Module provides a ROS interface for Energid's actinSE and Robai's Cyton 7-DOF humanoid manipulators. The aim of this module is to expose actinSE and the Cyton hardware API through ROS.,"7dof,arm"
35,Dalurobot_chassis,ground,http://www.dalurobot.com/web/index.html,http://wiki.ros.org/Robots/Dalurobot,"patented design with six-wheeled independent drive suspension and independent steering, a unique and flexible control mode, outstanding passability, omnidirectional motion modes, and unique flexible shock absorbing steering mechanism.","mobile base,logistics robot,omnidirectional,wheeled,motor"
36,Dobot CR,manipulator,https://en.dobot.cn/,http://wiki.ros.org/Robots/Dobot/CR-Series,Dobot CR is is a collaborative 6-axis robot.,"arm,manipulator,co-bot,dobot"
37,Dobot MG400,manipulator,https://en.dobot.cn/,http://wiki.ros.org/Robots/Dobot/MG400,MG400 is a lightweight desktop robotic arm,"arm,manipulator,education,co-bot,dobot"
38,Doosan-Robot,manipulator,http://www.doosan.com/en/business/robotics/cooperation-robot/,http://wiki.ros.org/doosan-robotics,"This repository is about 6-axis Doosan robots. It includes packages such as moveit, Gazebo, as well as Doosan controller interlocking packages for ROS.","6dof,arm,manipulator,co-bot,doosan-robots,doosan-robotics"
39,Dynamixel,component,http://en.robotis.com/model/page.php?co_id=actuator,http://wiki.ros.org/dynamixel,"Dynamixel (Dynamic + Cell) is a high-performance, all-in-one actuator designed for multi-jointed robot configurations.","indigo,kinetic,melodic,motor,actuator,education,research,robotis,dynamixel"
40,Elfin,manipulator,http://www.hansrobot.com/,http://wiki.ros.org/Robots/Elfin,The Elfin is an affordable 6-DOF manipulator designed for research and automation.,"arm,manipulator,research,automation,moveit"
41,Erle-Brain,component,,http://wiki.ros.org/Robots/Erle-Brain-2,Erle-brain is a Linux-based autopilot for making drones. It consists of a BeagleBone Black and a PixHawk Fire cape that put together conform a 1GHz Cortex-A8 embedded computer that has 29 sensors and many interfacing possibilities.,"aerial,computation"
42,Erle-Copter,,,,Erle-copter is a Linux-based drone that uses the award winning APM:Copter autopilot software. It’s capable of the different flight modes and ideal for outdoor operations. It has been designed for an extended flight time and it can carry a takeoff weight of about 2 kilograms.,"aerial,indigo,quadcopter"
43,Erle-HexaCopter,aerial,https://erlerobotics.com/blog/product/erle-hexacopter/,http://wiki.ros.org/Robots/Erle-HexaCopter,"Erle-HexaCopter is a ""heavy lifter"" version of Erle-Copter, a Linux-based drone that uses the award winning APM:Copter autopilot software.","aerial,hexacopter"
44,Erle-Plane,aerial,,http://wiki.ros.org/Robots/Erle-Plane,Erle-Plane is a fixed-wing drone based on the award winner APM:Plane platform.,"aerial,fixed-wing,plane"
45,Erle-Rover,ground,http://erlerobotics.com/blog/erle-rover/,http://wiki.ros.org/Robots/Erle-Rover,Erle-Rover is a Linux-based Unmanned Ground Vehicle (UGV) that uses the Robot Operating System (ROS) and the APM:Rover APM:Rover autopilot.,"ackermann,ground"
46,Erle-Spider,ground,http://erlerobotics.com/docs/Robots/Erle-Spider/index.html,http://wiki.ros.org/Robots/Erle-Spider,"Erle-Spider is a Linux-based legged drone powered based totally in ROS, the Robot Operating Syst","ground,legged"
47,Evarobot,ground,,http://wiki.ros.org/Robots/evarobot,The evarobot is a mobile robot platform built by Inovasyon Muhendislik.,"diff-drive,ground"
48,Fanuc,manipulator,http://wiki.ros.org/fanuc,http://wiki.ros.org/fanuc,"This repository is part of the ROS-Industrial program. It currently contains packages that provide nodes for communication with Fanuc industrial robot controllers, URDF models for supported manipulators and associated MoveIt packages.","ROS-Industrial,arm,industrial,manipulator,arm,fanuc"
