query_id,link,,desired_package,,time
1,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+discover+other+ROS+masters,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+discover+other+ROS+masters,master_discovery_fkie,1,0.28
2,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+Synchronize+the+local+ROS+master,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+Synchronize+the+local+ROS+master,master_sync_fkie,1,0.29
3,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+use+GUI+to+pilot+the+robot+using+Twist+message,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+use+GUI+to+pilot+the+robot+using+Twist+message,rqt_robot_steering,NA,0.35
4,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+use+OpenCV+to+capture+camera+image,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+use+OpenCV+to+capture+camera+image,cv_camera,NA,0.27
5,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+view+image+from+ROS+image+topics,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+view+image+from+ROS+image+topics,image_view,1,0.30 
6,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+meta-package+for+esay+install+velodyne+simulation+components,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+meta-package+for+esay+install+velodyne+simulation+components,velodyne_simulator,1,0.29
7,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+description+package+for+velodyne+lidar,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+description+package+for+velodyne+lidar,velodyne_description,3,0.28
8,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+use+gazebo+plugin+to+provide+simulated+data+from+velodyne+lidar,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+use+gazebo+plugin+to+provide+simulated+data+from+velodyne+lidar,velodyne_gazebo_plugins,1,0.31
9,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+launch+the+driver+for+velodyne+lidar,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+launch+the+driver+for+velodyne+lidar,velodyne_driver,1,0.31
10,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+convert+data+from+velodyne+lidar+to+point+cloud,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+convert+data+from+velodyne+lidar+to+point+cloud,velodyne_pointcloud,5,0.26
