query_id,description,desired_package,package_description,features,robot,sensor,function,characteristics,repo,category,node,message,service,action,launch,robot_tag,,
1,discover other ROS masters,master_discovery_fkie,Discover the running ROS Masters in local network. The      discovering is done by sending an echo heartbeat messages to a defined      multicast group.     The alternative is to use a zeroconf/avahi daemon to register the ROS      master as service and discover other ROS masters.,discover other ROS masters,,,,,,,,,,,,,1,NA
2,Synchronize the local ROS master,master_sync_fkie,Synchronize the local ROS master to the remote masters      discovered by master_discovery_fkie node. The registration     of topics and services is only perform by local ROS master.,Synchronize the local ROS master,,,,,,,,,,,,,1,NA
3,use GUI to pilot the robot using Twist message,rqt_robot_steering,rqt_robot_steering provides a GUI plugin for steering a robot using Twist messages.,"func: steering a robot using Twist messages, GUI plugin",,,,,,,,,,,,,1,NA
4,use OpenCV to capture camera image,cv_camera,cv_camera uses OpenCV capture object to capture camera image.  This supports camera_image and nodelet.,"func: capture camera image, OpenCV
chara: camera",,,,camera,,,,,,,,,1,NA
5,view image from ROS image topics,image_view,A simple viewer for ROS image topics. Includes a specialized viewer  for stereo + disparity images.,"chara: viewer, ROS image topics,
func: view image",,,,"viewer,ROS image topics",,,,,,,,,NA,12
6,meta-package for esay install velodyne simulation components,velodyne_simulator,Metapackage allowing easy installation of Velodyne simulation components.,"func: for easy install
velodyne: 
cate: meta-package",,velodyne hdl-64e 3d lidar,,,,meta_package,,,,,,,1,2
8,use gazebo plugin to provide simulated data from velodyne lidar,velodyne_gazebo_plugins,Gazebo plugin to provide simulated data from Velodyne laser scanners.,"chara: gazebo plugin
func: provide simulated data",,velodyne hdl-64e 3d lidar,,gazebo plugin,,,,,,,,,2,2
15,interface with Dynamixel servo motors,dynamixel_motor,"This stack contains packages that are used to interface with Robotis    Dynamixel line of servo motors. This stack was tested with and fully    supports AX-12, AX-18, RX-24, RX-28, MX-28, RX-64, MX-64, EX-106 and    MX-106 models.","robot:Dynamixel
func: interface with servo motors.",Dynamixel,,,,,,,,,,,,9,3
17,convert OpenCV images to ROS image messages,cv_bridge,"This contains CvBridge, which converts between ROS    Image messages and OpenCV images.","chara: ROS Image messages, OpenCV images
func: convert images",,,,"ROS Image messages,OpenCV images",,,,,,,,,3,1
18,calibrate parameters for image with OpenCV,image_geometry,"`image_geometry` contains C++ and Python libraries for interpreting images    geometrically. It interfaces the calibration parameters in sensor_msgs/CameraInfo    messages with OpenCV functions such as image rectification, much as cv_bridge    interfaces ROS sensor_msgs/Image with OpenCV data types.","func: interpreting images, calibration
chara: OpenCV， sensor_msgs/Image",,,,"OpenCV,sensor_msgs/Image",,,,,,,,,1,3
23,start the tb2 robot,turtlebot_bringup,turtlebot_bringup provides roslaunch scripts for starting the TurtleBot base functionality.,"turtlebot_bringup provides roslaunch scripts,starting,TurtleBot base functionality",Turtlebot2,,,,,,,,,,,,5,6
24,turtlebot2 create maps with gmapping algorithm,turtlebot_navigation,turtlebot_navigation,"robot:turtlebot2
func: create maps
chara: navigation
launch:gmapping_demo.launch",Turtlebot2,,,navigation,,,,,,,gmapping_demo.launch,,1,1
25,visualize turtlebot2 with rviz,turtlebot_rviz_launchers,Launchers for visualizing TurtleBot,"robot: turtlebot2
func: visualize turtlebot2
chara: rviz",Turtlebot2,,,rviz,,,,,,,,,1,2
26,use joysticks or keyboard to teleoperate tb2,turtlebot_teleop,Provides teleoperation using joysticks or keyboard.,"func:teleoperate turtlebot2
chara:use joysticks",Turtlebot2,,,teleoperate turtlebot2,,,,,,,,,1,8
27,save the map,map_server,map_server provides the,"map,server,map_saver",,,,map,,,,,,,,,1,NA
28,modify parameter with rqt plugin,rqt_reconfigure,"This rqt plugin succeeds former dynamic_reconfigure's GUI    (reconfigure_gui), and provides the way to view and edit the parameters    that are accessible via dynamic_reconfigure.","chara: rqt plugin
func: modify the parameters",,,,rqt plugin,,,,,,,,,1,12
32,simulate the hardware interfaces for Baxter in Gazebo,baxter_sim_hardware,Publishes the state information and emulates few hardware interfaces for use with Baxter    in Gazebo,"robot: baxter
func: simulate the hardware interfaces
chara: gazebo",,,,"baxter,gazebo",,,,,,,,,1,2
38,supply plugins for hector quadrotor in gazebo,hector_quadrotor_gazebo_plugins,hector_quadrotor_gazebo_plugins provides gazebo plugins for using quadrotors in gazebo.     The hector_gazebo_ros_baro sensor plugin simulates an altimeter based on barometric pressure.     hector_quadrotor_simple_controller is a simple controller allowing to command the quadrotor's velocity     using a geometry_msgs/Twist message for teleoperation just by means of applying forces and torques to the model.,"func: supply plugins
cate: gazebo, hector quadrotor",,,,"gazebo,hector quadrotor",,,,,,,,,1,1
40,describe the hector quadrotor UAV with URDF model,hector_quadrotor_description,hector_quadrotor_description provides an URDF model of a quadrotor UAV.,"func: URDF model
chara: quadrotor UAV, heactor quadrotor
cate: description",,,,"quadrotor UAV,heactor quadrotor",,description_package,,,,,,,1,1
45,PID controller for navigation of crazyflie,crazyflie_controller,Controller to fly a Crazyflie in a space with location feedback (such as motion capture).,"robot: crazyflie
func: navigation
chara: PID controller",crazyflie,,,PID controller,,,,,,,,,1,3
51,"save audio from microphone or mp3 file, and play the audio",audio_capture,Transports audio from a source to a destination. Audio sources can come      from a microphone or file. The destination can play the audio or save it      to an mp3 file.,"func: save audio, play audio 
chara: microphone, mp3 file, audio",,,,"microphone,mp3 file,audio",,,,,,,,,1,1
53,translate command from ROS topic,sound_play,sound_play provides a ROS node that translates commands on a ROS topic (,func: translate commaond,,,,,,,,,,,,,NA,NA
55,audio monitor of rospeex based on browser,rospeex_webaudiomonitor,This package provides a browser-based waveform monitor of rospeex's (beta version).    This package requires an external web browser: Google Chrome or Firefox.,"func: audio monitor based on browser
chara: rospeex, web monitor",,rospeex,,web monitor,,,,,,,,,1,3
56,give some examples for rospeex,rospeex_samples,This package provides some rospeex samples.,"func: give rospeex examples
chara: rospeex",,rospeex,,,,,,,,,,,1,1
58,provide launches for rospeex,rospeex_launch,This package launches rospeex's core nodes.,"func: provide launches
chara: rospeex",,rospeex,,,,,,,,,,,6,3
59,package that includes interface libraries for rospeex,rospeex_if,This package provides interface libraries on C++ and Python.,"func: include interface library
chara: rospeex",,rospeex,,,,,,,,,,,1,5
60,package that includes core nodes for rospeex,rospeex_core,This package provides rospeex's core nodes.,"func: include core node
chara: rospeex",,rospeex,,,,,,,,,,,3,4
61,audio monitor of rospeex,rospeex_audiomonitor,This package provides a stable waveform monitor of rospeex's (recommended).    This package requires an external library: qtmobility-dev.,"func: audio monitor
chara: rospeex",,rospeex,,,,,,,,,,,1,8
65,visualize multiple graphs separately with rqt,rqt_gui,rqt_gui provides the main to start an instance of the ROS integrated graphical user interface provided by qt_gui.,,,,,"visualize multiple graphs,rqt",,,,,,,,,1,NA
67,visualize 3d data in 3d world,rqt_rviz,rqt_rviz provides a GUI plugin embedding,,,,,3d world,,,,,,,,,NA,NA
68,"visualize, filter and analyze log messages",rqt_console,rqt_console provides a GUI plugin for displaying and filtering ROS messages.,,,,,log messages,,,,,,,,,NA,NA
69,view the computation graph of nodes,rqt_graph,rqt_graph provides a GUI plugin for visualizing the ROS      computation graph.,,,,,"nodes,graph",,,,,,,,,4,NA
70,create robot model,xacro,"Xacro (XML Macros)    Xacro is an XML macro language. With xacro, you can construct shorter and more readable XML files by using macros that expand to larger XML expressions.",,,,,,,,,,,,,,NA,NA
71,open gazebo,gazebo_ros,Provides ROS plugins that offer message and service publishers for interfacing with,,,,,gazebo,,,,,,,,,NA,NA
72,transform the coordinateframes,tf,"tf is a package that lets the user keep track of multiple coordinateframes over time. tf maintains the relationship between coordinateframes in a tree structure buffered in time, and lets the usertransform points, vectors, etc between any two coordinate frames atany desired point in time.",,,,,transform the coordinateframes,,,,,,,,,13,1
73,teleoperate robot by twist messages with keyboard,teleop_twist_keyboard,Generic keyboard teleop for twist robots.,,,,,"twist messages,keyboard",,,,,,,,,NA,2
74,locating the robot in 2d environment,amcl,"amcl is a probabilistic localization system for a robot moving in 2D. It implements the adaptive (or KLD-sampling) Monte Carlo localization approach (as described by Dieter Fox), which uses a particle filter to track the pose of a robot against a known map.",,,,,2d environment,,,,,,,,,NA,NA
75,get feedbacks from executing robot commands,actionlib,"The actionlib stack provides a standardized interface for    interfacing with preemptable tasks. Examples of this include moving    the base to a target location, performing a laser scan and returning    the resulting point cloud, detecting the handle of a door, etc.",,,,,executing robot commands,,,,,,,,,NA,NA
76,start the setup helper for moveit,moveit_setup_assistant,Generates a configuration package that makes it easy to use MoveIt!,,,,,moveit,,,,,,,,,4,NA
