query-id,RPKG,GitHub,ROS Index,Google,ChatGPT
1,1,-1,-1,1,3
2,1,-1,-1,1,4
3,1,-1,-1,-1,-1
4,1,-1,1,-1,2
5,-1,1,17,1,1
6,-1,-1,-1,1,2
7,-1,-1,-1,3,1
8,-1,-1,-1,1,6
9,-1,6,-1,1,7
10,-1,3,-1,5,-1
11,1,9,-1,1,1
12,1,-1,-1,20,1
13,11,1,8,2,1
14,3,1,-1,-1,-1
15,9,1,-1,3,1
16,1,5,-1,-1,7
17,3,2,-1,4,2
18,1,-1,1,-1,6
19,1,-1,-1,-1,-1
20,1,-1,7,-1,-1
21,1,-1,3,2,1
22,2,-1,-1,-1,2
23,5,-1,9,-1,-1
24,1,-1,-1,-1,1
25,1,-1,-1,-1,-1
26,-1,-1,-1,-1,-1
27,-1,-1,-1,1,1
28,1,-1,-1,1,1
29,-1,-1,-1,15,9
30,-1,1,-1,1,1
31,-1,-1,-1,-1,14
32,-1,-1,-1,-1,19
33,-1,-1,13,-1,-1
34,-1,-1,6,11,-1
35,-1,2,1,1,1
36,-1,-1,8,2,17
37,-1,-1,-1,-1,13
38,1,-1,-1,1,-1
39,1,-1,-1,-1,-1
40,1,-1,-1,-1,-1
41,1,-1,13,-1,-1
42,1,-1,4,-1,4
43,1,-1,2,-1,2
44,1,-1,2,-1,2
45,1,-1,2,-1,8
46,1,-1,-1,-1,4
47,1,-1,4,-1,2
48,3,-1,2,6,-1
49,1,-1,-1,1,7
50,1,-1,11,1,1
51,1,-1,1,1,2
52,2,-1,1,5,-1
53,-1,-1,-1,-1,-1
54,1,-1,4,1,6
55,-1,-1,-1,-1,-1
56,-1,-1,-1,-1,-1
57,-1,-1,3,1,-1
58,-1,-1,-1,-1,-1
59,-1,-1,-1,1,-1
60,-1,-1,-1,1,-1
61,3,-1,-1,1,-1
62,-1,-1,1,1,1
63,-1,-1,-1,13,-1
64,4,-1,-1,-1,1
65,-1,-1,-1,-1,-1
66,-1,-1,-1,-1,-1
67,-1,-1,-1,-1,-1
68,-1,-1,-1,7,1
69,6,-1,-1,-1,1
70,-1,-1,-1,-1,-1
71,-1,-1,-1,-1,1
72,13,-1,11,4,1
73,-1,-1,-1,2,1
74,-1,-1,-1,-1,2
75,-1,-1,-1,-1,1
76,4,-1,-1,1,-1
77,-1,-1,-1,16,-1
78,-1,-1,-1,8,-1
79,-1,-1,-1,1,1
80,-1,-1,-1,1,1
81,1,2,-1,2,-1
82,1,-1,-1,1,1
83,-1,-1,-1,1,1
84,1,-1,-1,1,1
85,-1,-1,3,3,-1
86,-1,-1,-1,-1,-1
87,7,1,-1,1,1
88,3,-1,14,-1,9
89,5,2,-1,-1,-1
90,1,-1,-1,1,3
91,2,-1,-1,4,3
92,1,2,-1,1,-1
93,-1,-1,-1,-1,3
94,-1,-1,-1,-1,-1
95,-1,-1,-1,17,-1
96,-1,-1,-1,12,2
97,-1,-1,-1,-1,-1
98,8,1,-1,1,1
99,-1,-1,-1,-1,-1
100,-1,-1,12,-1,-1
