query_id,description,desired_package,package_description,features,robot,sensor,function,characteristics,repo,category,node,message,service,action,launch,robot_tag,
1,discover other ROS masters,master_discovery_fkie,Discover the running ROS Masters in local network. The      discovering is done by sending an echo heartbeat messages to a defined      multicast group.     The alternative is to use a zeroconf/avahi daemon to register the ROS      master as service and discover other ROS masters.,discover other ROS masters,,,discover other ROS masters,,,,,,,,,,1
2,Synchronize the local ROS master,master_sync_fkie,Synchronize the local ROS master to the remote masters      discovered by master_discovery_fkie node. The registration     of topics and services is only perform by local ROS master.,Synchronize the local ROS master,,,Synchronize the local ROS master,,,,,,,,,,1
3,use GUI to pilot the robot using Twist message,rqt_robot_steering,rqt_robot_steering provides a GUI plugin for steering a robot using Twist messages.,"func: steering a robot using Twist messages, GUI plugin",,,"steering a robot using Twist messages,GUI plugin",,,,,,,,,,1
4,use OpenCV to capture camera image,cv_camera,cv_camera uses OpenCV capture object to capture camera image.  This supports camera_image and nodelet.,"func: capture camera image, OpenCV
chara: camera",,,"capture camera image,OpenCV",camera,,,,,,,,,1
5,view image from ROS image topics,image_view,A simple viewer for ROS image topics. Includes a specialized viewer  for stereo + disparity images.,"chara: viewer, ROS image topics,
func: view image",,,view image,"viewer,ROS image topics",,,,,,,,,NA
6,meta-package for esay install velodyne simulation components,velodyne_simulator,Metapackage allowing easy installation of Velodyne simulation components.,"func: for easy install
velodyne: 
cate: meta-package",,velodyne hdl-64e 3d lidar,"for easy install
velodyne",,,meta_package,,,,,,,1
7,description package for velodyne lidar,velodyne_description,URDF and meshes describing Velodyne laser scanners.,"velodyne hdl-64e 3d lidar,
cate: description package",,velodyne hdl-64e 3d lidar,,,,description_package,,,,,,,1
8,use gazebo plugin to provide simulated data from velodyne lidar,velodyne_gazebo_plugins,Gazebo plugin to provide simulated data from Velodyne laser scanners.,"chara: gazebo plugin
func: provide simulated data",,velodyne hdl-64e 3d lidar,provide simulated data,gazebo plugin,,,,,,,,,2
9,launch the driver for velodyne lidar,velodyne_driver,ROS device driver for Velodyne 3D LIDARs.,"sensor: xxx
chara: driver",,velodyne hdl-64e 3d lidar,,driver,,,,,,,,,1
10,convert data from velodyne lidar to point cloud,velodyne_pointcloud,Point cloud conversions for Velodyne 3D LIDARs.,"velodyne hdl-64e 3d lidar,
chara: convert to point cloud",,velodyne hdl-64e 3d lidar,,convert to point cloud,,,,,,,,,1
11,launch the driver for leap motion,leap_motion,ROS driver for the Leap Motion gesture sensor,"sensor: leap_motion
chara: ROS driver",,leap_motion,,ROS driver,,,,,,,,,1
12,visualize 3d markers,rviz,3D visualization tool for ROS.,chara: 3D visualization tool,,,,visualize 3d markers,,,,,,,,,1
13,launch the driver for V4L usb camera,usb_cam,A ROS Driver for V4L USB Cameras,"chara: V4L USB Cameras, driver",,,,"V4L USB Cameras,driver",,,,,,,,,11
14,direct ROS topics,topic_tools,"Tools for directing, throttling, selecting, and otherwise messing with    ROS topics at a meta level. None of the programs in this package actually    know about the topics whose streams they are altering; instead, these    tools deal with messages as generic binary blobs. This means they can be    applied to any ROS topic.","chara: ROS topics, directing",,,,"ROS topics,directing",,,,,,,,,3
15,interface with Dynamixel servo motors,dynamixel_motor,"This stack contains packages that are used to interface with Robotis    Dynamixel line of servo motors. This stack was tested with and fully    supports AX-12, AX-18, RX-24, RX-28, MX-28, RX-64, MX-64, EX-106 and    MX-106 models.","robot:Dynamixel
func: interface with servo motors.",Dynamixel,,interface with servo motors,,,,,,,,,,9
16,tutorials for dynamixel robot,dynamixel_tutorials,Example configuration and launch file for dynamixel_motor stack.,,Dynamixel,,,tutorial,,,,,,,,,1
17,convert OpenCV images to ROS image messages,cv_bridge,"This contains CvBridge, which converts between ROS    Image messages and OpenCV images.","chara: ROS Image messages, OpenCV images
func: convert images",,,convert images,"ROS Image messages,OpenCV images",,,,,,,,,3
18,calibrate parameters for image with OpenCV,image_geometry,"`image_geometry` contains C++ and Python libraries for interpreting images    geometrically. It interfaces the calibration parameters in sensor_msgs/CameraInfo    messages with OpenCV functions such as image rectification, much as cv_bridge    interfaces ROS sensor_msgs/Image with OpenCV data types.","func: interpreting images, calibration
chara: OpenCV， sensor_msgs/Image",,,"interpreting images,calibration","OpenCV,sensor_msgs/Image",,,,,,,,,1
19,simulate turtlebot2 in gazebo,turtlebot_gazebo,Gazebo launchers and worlds for TurtleBot simulation,"Gazebo launchers,worlds,TurtleBot simulation",Turtlebot2,,,"Gazebo,simulation",,,,,,,,,1
20,open dashboard for turtlebot2,turtlebot_dashboard,Launchers for the base-specific dashboards,"robot: turtlebot2
chara: dashboard",Turtlebot2,,,dashboard,,,,,,,,,1
21,automatic docking for kobuki,kobuki_auto_docking,"Automatic docking for Kobuki:	    Users owning a docking station for Kobuki can use this tool to let Kobuki find its nest autonomously.","robot: Kobuki
chara: automatic docking",Kobuki,,,automatic docking,,,,,,,,,1
22,view the real time image,image_view,A simple viewer for ROS image topics. Includes a specialized viewer  for stereo + disparity images.,"simple viewer,ROS image topics Includes,specialized viewer,stereo,disparity images",,,,"simple viewer,ROS image topics",,,,,,,,,2
23,start the tb2 robot,turtlebot_bringup,turtlebot_bringup provides roslaunch scripts for starting the TurtleBot base functionality.,"turtlebot_bringup provides roslaunch scripts,starting,TurtleBot base functionality",Turtlebot2,,starting the TurtleBot,,,,,,,,,,5
24,turtlebot2 create maps with gmapping algorithm,turtlebot_navigation,turtlebot_navigation,"robot:turtlebot2
func: create maps
chara: navigation
launch:gmapping_demo.launch",Turtlebot2,,create maps,navigation,,,,,,,gmapping_demo.launch,,1
25,visualize turtlebot2 with rviz,turtlebot_rviz_launchers,Launchers for visualizing TurtleBot,"robot: turtlebot2
func: visualize turtlebot2
chara: rviz",Turtlebot2,,visualize turtlebot2,rviz,,,,,,,,,1
26,use joysticks or keyboard to teleoperate tb2,turtlebot_teleop,Provides teleoperation using joysticks or keyboard.,"func:teleoperate turtlebot2
chara:use joysticks",Turtlebot2,,use joysticks,teleoperate turtlebot2,,,,,,,,,1
27,save the map,map_server,map_server provides the,"map,server,map_saver",,,save the map,map,,,,,,,,,1
28,modify parameter with rqt plugin,rqt_reconfigure,"This rqt plugin succeeds former dynamic_reconfigure's GUI    (reconfigure_gui), and provides the way to view and edit the parameters    that are accessible via dynamic_reconfigure.","chara: rqt plugin
func: modify the parameters",,,modify the parameters,rqt plugin,,,,,,,,,1
29,start Baxter in Gazebo world,baxter_gazebo,Baxter Gazebo plugins and launch files,"robot: baxter
chara: gazebo",,,,"baxter,gazebo",,,,,,,,,1
30,metapackage for baxter simulation,baxter_simulator,Metapackage - Baxter Research Robot Gazebo Simulation,"robot: baxter
chara: simulation
cate: metapackage",,,,"baxter,simulation",,meta_package,,,,,,,1
31,compensate the gravity for baxter in gazebo,baxter_sim_kinematics,"Baxter Kinematics for the FK, IK and the gravity compensation calculations","robot: baxter
func: compensate the gravity
chara: gazebo",,,,"baxter,gazebo,kinematics",,,,,,,,,8
32,simulate the hardware interfaces for Baxter in Gazebo,baxter_sim_hardware,Publishes the state information and emulates few hardware interfaces for use with Baxter    in Gazebo,"robot: baxter
func: simulate the hardware interfaces
chara: gazebo",,,simulate the hardware interfaces,"baxter,gazebo",,,,,,,,,1
33,baxter samples in gazebo,baxter_sim_examples,The baxter_sim_examples package,"robot: baxter
chara: samples, gazebo",,,,"baxter,samples,gazebo",,,,,,,,,NA
34,baxter controller in gazebo,baxter_sim_controllers,Baxter specific controllers for Gazebo use,"robot: baxter
chara: controller, gazebo",,,,"baxter,controller,gazebo",,,,,,,,,NA
35,description package for baxter robot,baxter_description,Description of Baxter Research Robot from Rethink Robotics.    This package contains the URDF and meshes describing Baxter.,"robot: baxter
chara: URDF, mesh
cate: description",,,,"baxter,URDF,mesh",,description_package,,,,,,,1
36,Message package for baxter,baxter_core_msgs,Messages and Services required for communication with the Baxter    Research Robot from Rethink Robotics.,"robot: baxter
cate: message",,,,baxter,,message_package,,,,,,,1
37,teleoperate hector quadrotor with joystick,hector_quadrotor_teleop,hector_quadrotor_teleop enables quadrotor flying with a joystick by     processing joy/Joy messages and translating them to geometry_msgs/Twist.,"chara: hector quadrotor, joystick",,,,"hector quadrotor,joystick",,,,,,,,,NA
38,supply plugins for hector quadrotor in gazebo,hector_quadrotor_gazebo_plugins,hector_quadrotor_gazebo_plugins provides gazebo plugins for using quadrotors in gazebo.     The hector_gazebo_ros_baro sensor plugin simulates an altimeter based on barometric pressure.     hector_quadrotor_simple_controller is a simple controller allowing to command the quadrotor's velocity     using a geometry_msgs/Twist message for teleoperation just by means of applying forces and torques to the model.,"func: supply plugins
cate: gazebo, hector quadrotor",,,supply plugins,"gazebo,hector quadrotor",,,,,,,,,1
39,start the hector quadrotor in gazebo simulator,hector_quadrotor_gazebo,hector_quadrotor_gazebo provides a quadrotor model for the gazebo simulator.     It can be commanded using geometry_msgs/Twist messages.,"chara: quadrotor, heactor, gazebo",,,,"quadrotor,heactor,gazebo",,,,,,,,,1
40,describe the hector quadrotor UAV with URDF model,hector_quadrotor_description,hector_quadrotor_description provides an URDF model of a quadrotor UAV.,"func: URDF model
chara: quadrotor UAV, heactor quadrotor
cate: description",,,URDF model,"quadrotor UAV,heactor quadrotor",,description_package,,,,,,,1
41,demonstrations for hector quadrotor,hector_quadrotor_demo,hector_quadrotor_demo contains various launch files and needed dependencies for demonstration of the hector_quadrotor stack (indoor/outdoor flight in gazebo etc.),"chara: demonstration, heator quadrotor",,,,"demonstration,heator quadrotor",,,,,,,,,1
